location;Excel;Excel;Excel;Excel
lat;51.33319;51.33319;51.33319;51.33319
lon;-110.625;-110.625;-110.625;-110.625
asl;763.029;763.029;763.029;763.029
variable;Temperature;Precipitation Total;Wind Speed;Wind Direction
unit;°C;mm;km/h;°
level;2 m elevation corrected;sfc;10 m;10 m
resolution;hourly;hourly;hourly;hourly
aggregation;None;None;None;None
timestamp;Excel Temperature [2 m elevation corrected];Excel Precipitation Total;Excel Wind Speed [10 m];Excel Wind Direction [10 m]
20200816T0000;18.218187;0;2.260479;315
20200816T0100;17.438189;0;1.8648;270
20200816T0200;17.158188;0;2.2761226;249.44395
20200816T0300;16.878187;0;3.0374274;232.12502
20200816T0400;16.338188;0;3.207881;221.63354
20200816T0500;15.708188;0;3.1067312;210.96376
20200816T0600;14.298187;0;2.7812977;196.69925
20200816T0700;14.178187;0;2.6772869;174.28941
20200816T0800;16.328188;0;1.9210378;146.30994
20200816T0900;20.258188;0;5.9568853;153.43495
20200816T1000;22.618187;0;7.766828;149.03624
20200816T1100;24.678188;0;9.092791;148.17255
20200816T1200;26.448187;0;10.609278;151.50436
20200816T1300;28.038187;0;11.724627;158.68208
20200816T1400;29.388187;0;12.599903;166.55139
20200816T1500;30.448187;0;11.797039;173.51692
20200816T1600;31.178188;0;10.393015;181.4688
20200816T1700;31.568188;0;8.891537;188.61565
20200816T1800;31.578188;0;7.6285353;192.09476
20200816T1900;31.208187;0;5.694981;190.7843
20200816T2000;30.278187;0;3.996;143.1301
20200816T2100;27.968187;0;6.5795946;111.37062
20200816T2200;26.048187;0;7.1730394;111.80141
20200816T2300;24.248188;0;7.401894;120.25643
20200817T0000;22.698187;0;7.743951;130.81508
20200817T0100;21.378187;0;7.4066863;142.30576
20200817T0200;20.378187;0;7.1482625;153.43495
20200817T0300;19.378187;0;6.5903726;165.96376
20200817T0400;18.388187;0;5.8668513;177.39743
20200817T0500;17.418188;0;5.3545737;185.71059
20200817T0600;15.828188;0;4.3692846;142.4314
20200817T0700;17.778187;0;4.4337797;147.26477
20200817T0800;21.028187;0;4.066419;148.3925
20200817T0900;25.468187;0;6.1329885;177.51045
20200817T1000;27.848188;0;7.0533133;190.88553
20200817T1100;29.208187;0;6.7394466;198.43495
20200817T1200;30.488188;0;7.1730394;201.8014
20200817T1300;31.96819;0;7.5066204;207.47443
20200817T1400;33.69819;0;6.723632;213.69008
20200817T1500;33.888187;0;6.027944;225
20200817T1600;34.908188;0;7.078424;250.20113
20200817T1700;35.10819;0;8.591142;262.875
20200817T1800;33.488186;0;8.528962;271.78992
20200817T1900;32.208187;0;5.394189;32.905228
20200817T2000;29.598188;0;5.089565;47.121094
20200817T2100;27.238188;0;4.336678;47.489548
20200817T2200;25.858189;0;3.118132;19.983109
20200817T2300;24.428188;0;3.2408962;350.5377
20200818T0000;23.028187;0;4.066419;328.39252
20200818T0100;21.668188;0;4.5833187;324.46234
20200818T0200;20.498188;0;5.2744513;315
20200818T0300;19.348188;0;6.0397053;311.42368
20200818T0400;18.338188;0;6.0397053;311.42368
20200818T0500;17.488188;0;5.466071;316.97495
20200818T0600;16.928188;0;4.713097;312.7094
20200818T0700;18.248188;0;2.1312;270
20200818T0800;20.928188;0;1.7057923;218.65982
20200818T0900;25.028187;0;2.5132127;212.00539
20200818T1000;27.808187;0;3.2951863;194.03624
20200818T1100;29.928188;0;4.912173;192.52881
20200818T1200;31.588188;0;6.6600003;196.26021
20200818T1300;33.08819;0;8.512303;200.1363
20200818T1400;33.958187;0;9.686122;211.50427
20200818T1500;34.548187;0;10.778504;230.01312
20200818T1600;34.888187;0;11.685216;245.77226
20200818T1700;34.958187;0;11.333747;246.44774
20200818T1800;34.738186;0;10.605932;244.72229
20200818T1900;33.918186;0;7.2713056;241.55707
20200818T2000;31.688189;0;3.9603205;222.2737
20200818T2100;29.498188;0;3.4734309;184.39871
20200818T2200;27.248188;0;4.3935814;194.03624
20200818T2300;25.238188;0;5.9865956;212.27565
20200819T0000;23.268188;0;6.972355;226.54816
20200819T0100;20.368187;0;8.228268;240.9454
20200819T0200;18.458187;0;9.197554;259.992
20200819T0300;17.318188;0;10.9742565;275.5722
20200819T0400;15.988188;0;10.794953;285.7512
20200819T0500;14.478188;0;9.8568;288.92465
20200819T0600;13.488188;0;9.605188;289.44003
20200819T0700;15.128188;0;7.835059;305.31122
20200819T0800;19.028187;0;9.9855585;316.08093
20200819T0900;22.038187;0;10.961317;334.0577
20200819T1000;24.288187;0;10.788378;339.77515
20200819T1100;25.828188;0;10.794953;344.24884
20200819T1200;26.668188;0;10.511835;351.25385
20200819T1300;28.118187;0;9.594099;1.5911255
20200819T1400;29.408188;0;8.262696;20.772247
20200819T1500;30.498188;0;6.415762;41.63353
20200819T1600;31.128187;0;4.212154;71.56504
20200819T1700;31.518188;0;2.8692157;111.80141
20200819T1800;31.508188;0;2.1477854;172.87498
20200819T1900;30.608189;0;4.912173;77.47118
20200819T2000;28.878187;0;5.5625954;73.30075
20200819T2100;25.508188;0;7.670285;69.67686
20200819T2200;22.688189;0;7.670285;69.67686
20200819T2300;21.228188;0;7.947476;76.42956
20200820T0000;21.448187;0;7.36826;77.47118
20200820T0100;19.188189;0;7.2713056;81.57303
20200820T0200;18.368187;0;7.1928;89.99999
20200820T0300;17.358189;0;7.237064;96.340195
20200820T0400;16.518188;0;7.329631;109.09349
20200820T0500;15.888187;0;6.675965;118.61046
20200820T0600;15.468187;0;5.8668513;129.47246
20200820T0700;16.888187;0;6.0102577;77.19573
20200820T0800;20.238188;0;7.197732;87.8789
20200820T0900;23.538187;0;8.855546;105.70863
20200820T1000;25.608189;0;8.339639;116.56505
20200820T1100;27.338188;0;7.947476;129.55966
20200820T1200;28.848188;0;7.90719;147.38075
20200820T1300;30.088188;0;7.7987437;172.14668
20200820T1400;30.878187;0;8.102239;189.46233
20200820T1500;31.328188;0;9.418661;208.73979
20200820T1600;31.398188;0;10.362241;223.95837
20200820T1700;31.268188;0;10.420293;237.52881
20200820T1800;30.778187;0;11.204646;251.99585
20200820T1900;29.648188;0;7.7256002;316.3972
20200820T2000;27.768188;0;6.744709;350.90973
20200820T2100;25.098188;0;4.861344;350.5377
20200820T2200;23.358189;0;4.3935814;345.96375
20200820T2300;22.618187;0;3.4632;337.38013
20200821T0000;21.678188;0;3.7862556;320.7106
20200821T0100;19.998188;0;4.9553266;306.25385
20200821T0200;18.418188;0;6.9926825;310.36456
20200821T0300;16.958187;0;9.278219;320.82635
20200821T0400;16.338188;0;10.715772;325.12466
20200821T0500;16.768188;0;13.020938;329.2373
20200821T0600;15.708188;0;14.346079;328.67133
20200821T0700;15.038188;0;14.316367;315
20200821T0800;16.018188;0;15.4512005;313.6028
20200821T0900;17.688189;0;15.64519;312.93
20200821T1000;18.988188;0;15.4512005;313.6028
20200821T1100;20.468187;0;14.882679;314.27478
20200821T1200;21.778187;0;14.12925;315.76392
20200821T1300;23.058187;0;12.814919;316.6847
20200821T1400;24.108189;0;11.358766;320.71057
20200821T1500;25.038187;0;9.910653;323.74615
20200821T1600;25.578188;0;8.339639;333.43497
20200821T1700;25.838188;0;6.3322554;345.37915
20200821T1800;25.838188;0;5.089565;6.0090027
20200821T1900;25.238188;0;6.9723544;6.5819397
20200821T2000;23.418188;0;8.4788885;43.72696
20200821T2100;20.328188;0;9.755479;55.007973
20200821T2200;18.678188;0;11.201478;64.65382
20200821T2300;17.538187;0;12.149709;74.74488
20200822T0000;16.528187;0;11.566178;82.056526
20200822T0100;15.688188;0;12.257295;91.24536
20200822T0200;15.138187;0;12.225409;101.30993
20200822T0300;14.438188;0;11.880961;109.653824
20200822T0400;13.258187;0;10.873559;120.963745
20200822T0500;12.338188;0;9.014403;145.8403
20200822T0600;11.758187;0;9.87119;176.90594
20200822T0700;13.998188;0;11.308671;164.98164
20200822T0800;19.938189;0;13.589011;178.8767
20200822T0900;23.688189;0;19.666744;208.30077
20200822T1000;25.628187;0;30.104378;233.63715
20200822T1100;25.568188;0;33.643482;249.12537
20200822T1200;24.218187;0;31.977987;271.4321
20200822T1300;21.988188;0;29.575197;299.10474
20200822T1400;21.528187;0;24.910892;311.53177
20200822T1500;22.668188;0;22.431448;307.27817
20200822T1600;23.608189;0;23.352203;304.77783
20200822T1700;23.658188;0;21.261992;307.875
20200822T1800;23.258188;0;18.087755;313.80652
20200822T1900;22.298187;0;11.8240795;337.47943
20200822T2000;20.498188;0;6.9468617;4.398697
20200822T2100;18.048187;0;5.842608;46.847595
20200822T2200;17.008188;0;5.2339296;75.25644
20200822T2300;15.898188;0;5.3876066;98.53076
20200823T0000;14.798187;0;5.7384315;111.80141
20200823T0100;13.738188;0;6.287266;126.38435
20200823T0200;12.958188;0;6.4046903;135
20200823T0300;12.228188;0;6.6172385;139.8991
20200823T0400;11.848187;0;6.448861;141.70984
20200823T0500;12.178187;0;6.6172385;139.8991
20200823T0600;12.528188;0;6.972355;136.54816
20200823T0700;13.348187;0;8.29698;132.39743
20200823T0800;15.898188;0;10.362241;136.04163
20200823T0900;18.628187;0;13.031836;139.14462
20200823T1000;20.968187;0;14.770192;140.85602
20200823T1100;23.098188;0;15.025053;142.92693
20200823T1200;24.808187;0;14.7124195;148.32452
20200823T1300;26.158188;0;12.974528;160.82098
20200823T1400;27.018188;0;10.389601;180
20200823T1500;27.608189;0;8.867559;212.73523
20200823T1600;28.298187;0;8.339639;243.43495
20200823T1700;28.248188;0;8.29698;264.47247
20200823T1800;27.848188;0;8.2066765;283.13403
20200823T1900;27.198187;0;7.992;306.8699
20200823T2000;25.538187;0;6.791894;334.44003
20200823T2100;23.248188;0;7.730192;358.0251
20200823T2200;20.688189;0;9.62733;14.420761
20200823T2300;19.118187;0;11.333747;29.577835
